Namespace,Class Name,Command Name,ignored,portal.acceptance,portal.fixpack.release,portal.release,portal.smoke,portal.upstream,testray.component.names,testray.main.component.name
LocalFile,CPRolesDockbar,PreviewDeviceRegRole,,,,true,,true,"Mobile Web,User Interface",Roles
LocalFile,GroovyScript,ExecuteScriptWithEmbeddedHTML,,,,true,,true,,Server Administration
LocalFile,GroovyScript,ExecuteScriptWithLiferayClasses,,true,,true,,true,,Server Administration
LocalFile,GroovyScript,ExecuteScriptWithPredefinedVariables,,,,true,,true,,Server Administration
LocalFile,GroovyScript,ExecuteSimpleScript,,true,,true,,true,,Server Administration
LocalFile,Serveradministration,ViewGlobalLibDirectory,,,,true,,true,,Server Administration
LocalFile,Serveradministration,ViewSystemAndPortalProperties,,,,true,,true,,Server Administration
LocalFile,CPRolesCPUsergroups,AddUserGroupRegRole,,,,true,,true,,Roles
LocalFile,CPRolesCPUsersandorganizations,AddOrganizationRegRole,,,,true,,true,,Roles
LocalFile,CPRolesCPUsersandorganizations,AddUserRegRole,,,,true,,true,,Roles
LocalFile,CPRolesCPRoles,AddOrganizationRoleRegRole,,,,true,,true,Roles,Roles
LocalFile,CPRolesCPRoles,AddRegularRoleRegRole,,,,true,,true,Roles,Roles
LocalFile,CPRolesCPRoles,AddSiteRoleRegRole,,,,true,,true,Roles,Roles
LocalFile,CPRoles,AssertRoleTitleNotRequired,,,,true,,true,,Roles
LocalFile,CPRoles,AssignExistingSegmentToRegularRole,,,,true,,true,,Roles
LocalFile,CPRoles,AssignNewSegmentToRegularRole,,,,true,,true,,Roles
LocalFile,CPRoles,AssignUserToRegularRole,,true,,true,,true,,Roles
LocalFile,CPRoles,DeleteOrganizationRole,,true,,true,,true,Training,Roles
LocalFile,CPRoles,DeleteRegularRole,,true,,true,,true,,Roles
LocalFile,CPRoles,DeleteSiteRole,,true,,true,,true,,Roles
LocalFile,CPRoles,RemoveSegmentFromRegularRole,,,,true,,true,,Roles
LocalFile,BundleBlacklist,BlacklistComponent,,,,true,,true,,Bundle Blacklist
LocalFile,BundleBlacklist,BlacklistModuleBundleSymbolicName,,true,,true,,true,,Bundle Blacklist
LocalFile,BundleBlacklist,BlacklistModuleLPKG,,true,,true,,true,,Bundle Blacklist
LocalFile,BundleBlacklist,BlacklistModuleWar,,,,true,,true,,Bundle Blacklist
LocalFile,BundleBlacklist,ExportBundleBlacklistConfig,,,,true,,true,,Bundle Blacklist
LocalFile,FriendlyURL,VerifyFriendlyURLsOnlyDisplayLocaleOnce,,,,true,,true,,Friendly URL
LocalFile,FriendlyURL,ViewCanonicalURLWithLocalizedFriendlyURL,,quarantine,,true,,quarantine,,Friendly URL
LocalFile,FriendlyURL,ViewFriendlyURLWithSharedLocalesButDifferentLanguages,,,,true,,true,,Friendly URL
LocalFile,FriendlyURL,ViewFriendlyURLWithUnicodeChars,,,,true,,true,,Friendly URL
LocalFile,PortalContextPath,Smoke,,true,,,,,,Deployment
LocalFile,ContactsCenter,Smoke,,,,true,,true,,Contacts Center
LocalFile,VirtualInstances,AddPortalInstance,,,,true,,true,,Virtual Instances
